species	trait_value
Cheirogaleus_medius	128.33333329999999
Daubentonia_madagascariensis	1771.666667
Eulemur_albifrons	1948.375
Eulemur_collaris	1928.5
Eulemur_coronatus	1343.333333
Eulemur_flavifrons	2007
Eulemur_fulvus	1843.5
Eulemur_macaco	1966
Eulemur_mongoz	1250
Eulemur_rubriventer	1750
Eulemur_rufus	1687.25
Eulemur_sanfordi	1720
Galago_moholi	133.75
Hapalemur_griseus	697
Lemur_catta	1600
Loris_tardigradus	160.33333329999999
Microcebus_murinus	51.852380949999997
Mirza_coquereli	247
Nycticebus_coucang	858.57142859999999
Nycticebus_pygmaeus	350.68518519999998
Otolemur_garnettii	736
Perodicticus_potto	733.45833330000005
Propithecus_coquereli	3141.140351
Varecia_rubra	2765
Varecia_variegata	2459.5
