species	trait_value
Alouatta_seniculus	2829
Aotus_trivirgatus	862
Ateles_geoffroyi	4950
Avahi_laniger	524
Avahi_occidentalis	478
Callimico_goeldii	493
Callithrix_jacchus	372
Carlito_syrichta	133
Cebuella_pygmaea	174
Cebus_albifrons	3258
Cercopithecus_ascanius	2827
Cercopithecus_mitis	2733
Cheirogaleus_major	327
Cheirogaleus_medius	145
Daubentonia_madagascariensis	2765
Erythrocebus_patas	3624
Eulemur_fulvus	1215
Galago_senegalensis	210
Galagoides_demidovii	169
Gorilla_beringei	8658.0100000000002
Gorilla_gorilla	8827.4599999999991
Hylobates_lar	3902
Indri_indri	1855
Lagothrix_lagotricha	4947
Lepilemur_ruficaudatus	366
Lophocebus_albigena	4146
Loris_tardigradus	351
Macaca_mulatta	4032
Microcebus_murinus	85.700000000000003
Miopithecus_talapoin	1908
Nasalis_larvatus	3735
Nomascus_concolor	3988
Nycticebus_coucang	760
Otolemur_crassicaudatus	556
Pan_paniscus	10045
Pan_troglodytes	7137.4099999999999
Papio_anubis	7182
Perodicticus_potto	712
Piliocolobus_badius	3217
Pithecia_monachus	1918
Plecturocebus_moloch	721
Pongo_pygmaeus	8264.2199999999993
Propithecus_verreauxi	1411
Pygathrix_nemaeus	3166
Saguinus_midas	471
Saguinus_oedipus	453
Saimiri_sciureus	1042
Varecia_variegata	1591
